21-Oct-24 17:09:47 - 

-------------New Illumiante Operations Logging Instance
21-Oct-24 17:09:48 - Calling API token endpoing
21-Oct-24 17:10:37 - Getting assessments for standard
21-Oct-24 17:10:38 - Getting assessments for standard
21-Oct-24 17:10:38 - Getting assessments for standard
21-Oct-24 17:10:39 - Getting assessments for standard
21-Oct-24 17:10:39 - Getting assessments for standard
21-Oct-24 17:10:40 - Getting assessments for standard
21-Oct-24 17:10:40 - Getting assessments for standard
21-Oct-24 17:10:41 - Getting assessments for standard
21-Oct-24 17:10:41 - Getting assessments for standard
21-Oct-24 17:10:42 - Getting assessments for standard
21-Oct-24 17:10:42 - Getting assessments for standard
21-Oct-24 17:10:43 - Getting assessments for standard
21-Oct-24 17:10:43 - Getting assessments for standard
21-Oct-24 17:10:44 - Getting assessments for standard
21-Oct-24 17:10:45 - Getting assessments for standard
21-Oct-24 17:10:45 - Getting assessments for standard
21-Oct-24 17:10:46 - Getting assessments for standard
21-Oct-24 17:10:47 - Getting assessments for standard
21-Oct-24 17:10:47 - Getting assessments for standard
21-Oct-24 17:10:48 - Getting assessments for standard
21-Oct-24 17:10:49 - Getting assessments for standard
21-Oct-24 17:10:49 - Getting assessments for standard
21-Oct-24 17:10:50 - Getting assessments for standard
21-Oct-24 17:10:50 - Getting assessments for standard
21-Oct-24 17:10:51 - Getting assessments for standard
21-Oct-24 17:10:51 - Getting assessments for standard
21-Oct-24 17:10:52 - Getting assessments for standard
21-Oct-24 17:10:52 - Getting assessments for standard
21-Oct-24 17:10:53 - Getting assessments for standard
21-Oct-24 17:10:53 - Getting assessments for standard
21-Oct-24 17:10:54 - Getting assessments for standard
21-Oct-24 17:10:54 - Getting assessments for standard
21-Oct-24 17:10:55 - Getting assessments for standard
21-Oct-24 17:10:55 - Getting assessments for standard
21-Oct-24 17:10:56 - Getting assessments for standard
21-Oct-24 17:10:56 - Getting assessments for standard
21-Oct-24 17:10:57 - Getting assessments for standard
21-Oct-24 17:10:58 - Getting assessments for standard
21-Oct-24 17:10:58 - Getting assessments for standard
21-Oct-24 17:10:59 - Getting assessments for standard
21-Oct-24 17:10:59 - Getting assessments for standard
21-Oct-24 17:11:00 - Getting assessments for standard
21-Oct-24 17:11:01 - Getting assessments for standard
21-Oct-24 17:11:02 - Getting assessments for standard
21-Oct-24 17:11:02 - Getting assessments for standard
21-Oct-24 17:11:03 - Getting assessments for standard
21-Oct-24 17:11:03 - Getting assessments for standard
21-Oct-24 17:11:04 - Getting assessments for standard
21-Oct-24 17:11:04 - Getting assessments for standard
21-Oct-24 17:11:05 - Getting assessments for standard
21-Oct-24 17:11:05 - Getting assessments for standard
21-Oct-24 17:11:06 - Getting assessments for standard
21-Oct-24 17:11:06 - Getting assessments for standard
21-Oct-24 17:11:07 - Getting assessments for standard
21-Oct-24 17:11:07 - Getting assessments for standard
21-Oct-24 17:11:08 - Getting assessments for standard
21-Oct-24 17:11:08 - Getting assessments for standard
21-Oct-24 17:11:09 - Getting assessments for standard
21-Oct-24 17:11:09 - Getting assessments for standard
21-Oct-24 17:11:10 - Getting assessments for standard
21-Oct-24 17:11:10 - Getting assessments for standard
21-Oct-24 17:11:11 - Getting assessments for standard
21-Oct-24 17:11:11 - Getting assessments for standard
21-Oct-24 17:11:12 - Getting assessments for standard
21-Oct-24 17:11:12 - Getting assessments for standard
21-Oct-24 17:11:13 - Getting assessments for standard
21-Oct-24 17:11:13 - Getting assessments for standard
21-Oct-24 17:11:14 - Getting assessments for standard
21-Oct-24 17:11:15 - Getting assessments for standard
21-Oct-24 17:11:15 - Getting assessments for standard
21-Oct-24 17:11:15 - Getting assessments for standard
21-Oct-24 17:11:16 - Getting assessments for standard
21-Oct-24 17:11:16 - Getting assessments for standard
21-Oct-24 17:11:17 - Getting assessments for standard
21-Oct-24 17:11:17 - Getting assessments for standard
21-Oct-24 17:11:18 - Getting assessments for standard
21-Oct-24 17:11:18 - Getting assessments for standard
21-Oct-24 17:11:19 - Getting assessments for standard
21-Oct-24 17:11:19 - Getting assessments for standard
21-Oct-24 17:11:20 - Getting assessments for standard
21-Oct-24 17:11:20 - Getting assessments for standard
21-Oct-24 17:11:21 - Getting assessments for standard
21-Oct-24 17:11:22 - Getting assessments for standard
21-Oct-24 17:11:22 - Getting assessments for standard
21-Oct-24 17:11:23 - Getting assessments for standard
21-Oct-24 17:11:23 - Getting assessments for standard
21-Oct-24 17:11:24 - Getting assessments for standard
21-Oct-24 17:11:24 - Getting assessments for standard
21-Oct-24 17:11:25 - Getting assessments for standard
21-Oct-24 17:11:25 - Getting assessments for standard
21-Oct-24 17:11:26 - Getting assessments for standard
21-Oct-24 17:11:26 - Getting assessments for standard
21-Oct-24 17:11:27 - Getting assessments for standard
21-Oct-24 17:11:27 - Getting assessments for standard
21-Oct-24 17:11:28 - Getting assessments for standard
21-Oct-24 17:11:28 - Getting assessments for standard
21-Oct-24 17:11:29 - Getting assessments for standard
21-Oct-24 17:11:29 - Getting assessments for standard
21-Oct-24 17:11:30 - Getting assessments for standard
21-Oct-24 17:11:30 - Getting assessments for standard
21-Oct-24 17:11:31 - Getting assessments for standard
21-Oct-24 17:11:32 - Getting assessments for standard
21-Oct-24 17:11:32 - Getting assessments for standard
21-Oct-24 17:11:33 - Getting assessments for standard
21-Oct-24 17:11:33 - Getting assessments for standard
21-Oct-24 17:11:34 - Getting assessments for standard
21-Oct-24 17:11:35 - Getting assessments for standard
21-Oct-24 17:11:35 - Getting assessments for standard
21-Oct-24 17:11:36 - Getting assessments for standard
21-Oct-24 17:11:36 - Getting assessments for standard
21-Oct-24 17:11:37 - Getting assessments for standard
21-Oct-24 17:11:37 - Getting assessments for standard
21-Oct-24 17:11:38 - Getting assessments for standard
21-Oct-24 17:11:38 - Getting assessments for standard
21-Oct-24 17:11:39 - Getting assessments for standard
21-Oct-24 17:11:39 - Getting assessments for standard
21-Oct-24 17:11:40 - Getting assessments for standard
21-Oct-24 17:11:40 - Getting assessments for standard
21-Oct-24 17:11:41 - Getting assessments for standard
21-Oct-24 17:11:41 - Getting assessments for standard
21-Oct-24 17:11:42 - Getting assessments for standard
21-Oct-24 17:11:42 - Getting assessments for standard
21-Oct-24 17:11:43 - Getting assessments for standard
21-Oct-24 17:11:43 - Getting assessments for standard
21-Oct-24 17:11:44 - Getting assessments for standard
21-Oct-24 17:11:44 - Getting assessments for standard
21-Oct-24 17:11:45 - Getting assessments for standard
21-Oct-24 17:11:45 - Getting assessments for standard
21-Oct-24 17:11:46 - Getting assessments for standard
21-Oct-24 17:11:46 - Getting assessments for standard
21-Oct-24 17:11:47 - Getting assessments for standard
21-Oct-24 17:11:47 - Getting assessments for standard
21-Oct-24 17:11:48 - Getting assessments for standard
21-Oct-24 17:11:48 - Getting assessments for standard
21-Oct-24 17:11:49 - Getting assessments for standard
21-Oct-24 17:11:49 - Getting assessments for standard
21-Oct-24 17:11:50 - Getting assessments for standard
21-Oct-24 17:11:50 - Getting assessments for standard
21-Oct-24 17:11:51 - Getting assessments for standard
21-Oct-24 17:11:51 - Getting assessments for standard
21-Oct-24 17:11:52 - Getting assessments for standard
21-Oct-24 17:11:52 - Getting assessments for standard
21-Oct-24 17:11:53 - Getting assessments for standard
21-Oct-24 17:11:53 - Getting assessments for standard
21-Oct-24 17:11:54 - Getting assessments for standard
21-Oct-24 17:11:54 - Getting assessments for standard
21-Oct-24 17:11:55 - Getting assessments for standard
21-Oct-24 17:11:55 - Getting assessments for standard
21-Oct-24 17:11:56 - Getting assessments for standard
21-Oct-24 17:11:56 - Getting assessments for standard
21-Oct-24 17:11:57 - Getting assessments for standard
21-Oct-24 17:11:57 - Getting assessments for standard
21-Oct-24 17:11:58 - Getting assessments for standard
21-Oct-24 17:11:58 - Getting assessments for standard
21-Oct-24 17:11:59 - Getting assessments for standard
21-Oct-24 17:11:59 - Getting assessments for standard
21-Oct-24 17:12:00 - Getting assessments for standard
21-Oct-24 17:12:00 - Getting assessments for standard
21-Oct-24 17:12:01 - Getting assessments for standard
21-Oct-24 17:12:01 - Getting assessments for standard
21-Oct-24 17:12:02 - Getting assessments for standard
21-Oct-24 17:12:03 - Getting assessments for standard
21-Oct-24 17:12:03 - Getting assessments for standard
21-Oct-24 17:12:04 - Getting assessments for standard
21-Oct-24 17:12:04 - Getting assessments for standard
21-Oct-24 17:12:05 - Getting assessments for standard
21-Oct-24 17:12:05 - Getting assessments for standard
21-Oct-24 17:12:06 - Getting assessments for standard
21-Oct-24 17:12:06 - Getting assessments for standard
21-Oct-24 17:12:07 - Getting assessments for standard
21-Oct-24 17:12:07 - Getting assessments for standard
21-Oct-24 17:12:08 - Getting assessments for standard
21-Oct-24 17:12:08 - Getting assessments for standard
21-Oct-24 17:12:09 - Getting assessments for standard
21-Oct-24 17:12:09 - Getting assessments for standard
21-Oct-24 17:12:10 - Getting assessments for standard
21-Oct-24 17:12:10 - Getting assessments for standard
21-Oct-24 17:12:11 - Getting assessments for standard
21-Oct-24 17:12:11 - Getting assessments for standard
21-Oct-24 17:12:12 - Getting assessments for standard
21-Oct-24 17:12:12 - Getting assessments for standard
21-Oct-24 17:12:13 - Getting assessments for standard
21-Oct-24 17:12:13 - Getting assessments for standard
21-Oct-24 17:12:14 - Getting assessments for standard
21-Oct-24 17:12:14 - Getting assessments for standard
21-Oct-24 17:12:15 - Getting assessments for standard
21-Oct-24 17:12:15 - Getting assessments for standard
21-Oct-24 17:12:16 - Getting assessments for standard
21-Oct-24 17:12:17 - Getting assessments for standard
21-Oct-24 17:12:17 - Getting assessments for standard
21-Oct-24 17:12:18 - Getting assessments for standard
21-Oct-24 17:12:18 - Getting assessments for standard
21-Oct-24 17:12:18 - Getting assessments for standard
21-Oct-24 17:12:19 - Getting assessments for standard
21-Oct-24 17:12:19 - Getting assessments for standard
21-Oct-24 17:12:20 - Getting assessments for standard
21-Oct-24 17:12:20 - Getting assessments for standard
21-Oct-24 17:12:21 - Getting assessments for standard
21-Oct-24 17:12:21 - Getting assessments for standard
21-Oct-24 17:12:22 - Getting assessments for standard
21-Oct-24 17:12:22 - Getting assessments for standard
21-Oct-24 17:12:23 - Getting assessments for standard
21-Oct-24 17:12:23 - Getting assessments for standard
21-Oct-24 17:12:24 - Getting assessments for standard
21-Oct-24 17:12:24 - Getting assessments for standard
21-Oct-24 17:12:25 - Getting assessments for standard
21-Oct-24 17:12:25 - Getting assessments for standard
21-Oct-24 17:12:26 - Getting assessments for standard
21-Oct-24 17:12:27 - Getting assessments for standard
21-Oct-24 17:12:27 - Getting assessments for standard
21-Oct-24 17:12:28 - Getting assessments for standard
21-Oct-24 17:12:28 - Getting assessments for standard
21-Oct-24 17:12:29 - Getting assessments for standard
21-Oct-24 17:12:29 - Getting assessments for standard
21-Oct-24 17:12:30 - Getting assessments for standard
21-Oct-24 17:12:30 - Getting assessments for standard
21-Oct-24 17:12:31 - Getting assessments for standard
21-Oct-24 17:12:31 - Getting assessments for standard
21-Oct-24 17:12:32 - Getting assessments for standard
21-Oct-24 17:12:32 - Getting assessments for standard
21-Oct-24 17:12:33 - Getting assessments for standard
21-Oct-24 17:12:33 - Getting assessments for standard
21-Oct-24 17:12:34 - Getting assessments for standard
21-Oct-24 17:12:34 - Getting assessments for standard
21-Oct-24 17:12:35 - Getting assessments for standard
21-Oct-24 17:12:35 - Getting assessments for standard
21-Oct-24 17:12:36 - Getting assessments for standard
21-Oct-24 17:12:36 - Getting assessments for standard
21-Oct-24 17:12:37 - Getting assessments for standard
21-Oct-24 17:12:37 - Getting assessments for standard
21-Oct-24 17:12:38 - Getting assessments for standard
21-Oct-24 17:12:38 - Getting assessments for standard
21-Oct-24 17:12:39 - Getting assessments for standard
21-Oct-24 17:12:39 - Getting assessments for standard
21-Oct-24 17:12:40 - Getting assessments for standard
21-Oct-24 17:12:40 - Getting assessments for standard
21-Oct-24 17:12:41 - Getting assessments for standard
21-Oct-24 17:12:41 - Getting assessments for standard
21-Oct-24 17:12:42 - Getting assessments for standard
21-Oct-24 17:12:42 - Getting assessments for standard
21-Oct-24 17:12:43 - Getting assessments for standard
21-Oct-24 17:12:43 - Getting assessments for standard
21-Oct-24 17:12:44 - Getting assessments for standard
21-Oct-24 17:12:44 - Getting assessments for standard
21-Oct-24 17:12:45 - Getting assessments for standard
21-Oct-24 17:12:45 - Getting assessments for standard
21-Oct-24 17:12:46 - Getting assessments for standard
21-Oct-24 17:12:46 - Getting assessments for standard
21-Oct-24 17:12:47 - Getting assessments for standard
21-Oct-24 17:12:47 - Getting assessments for standard
21-Oct-24 17:12:48 - Getting assessments for standard
21-Oct-24 17:12:48 - Getting assessments for standard
21-Oct-24 17:12:49 - Getting assessments for standard
21-Oct-24 17:12:49 - Getting assessments for standard
21-Oct-24 17:12:50 - Getting assessments for standard
21-Oct-24 17:12:50 - Getting assessments for standard
21-Oct-24 17:12:51 - Getting assessments for standard
21-Oct-24 17:12:51 - Getting assessments for standard
21-Oct-24 17:12:52 - Getting assessments for standard
21-Oct-24 17:12:52 - Getting assessments for standard
21-Oct-24 17:12:53 - Getting assessments for standard
21-Oct-24 17:12:53 - Getting assessments for standard
21-Oct-24 17:12:54 - Getting assessments for standard
21-Oct-24 17:12:54 - Getting assessments for standard
21-Oct-24 17:12:55 - Getting assessments for standard
21-Oct-24 17:12:55 - Getting assessments for standard
21-Oct-24 17:12:56 - Getting assessments for standard
21-Oct-24 17:12:56 - Getting assessments for standard
21-Oct-24 17:12:57 - Getting assessments for standard
21-Oct-24 17:12:57 - Getting assessments for standard
21-Oct-24 17:12:58 - Getting assessments for standard
21-Oct-24 17:12:58 - Getting assessments for standard
21-Oct-24 17:12:59 - Getting assessments for standard
21-Oct-24 17:12:59 - Getting assessments for standard
21-Oct-24 17:13:00 - Getting assessments for standard
21-Oct-24 17:13:00 - Getting assessments for standard
21-Oct-24 17:13:00 - Getting assessments for standard
21-Oct-24 17:13:01 - Getting assessments for standard
21-Oct-24 17:13:02 - Getting assessments for standard
21-Oct-24 17:13:02 - Getting assessments for standard
21-Oct-24 17:13:03 - Getting assessments for standard
21-Oct-24 17:13:03 - Getting assessments for standard
21-Oct-24 17:13:03 - Getting assessments for standard
21-Oct-24 17:13:04 - Getting assessments for standard
21-Oct-24 17:13:04 - Getting assessments for standard
21-Oct-24 17:13:05 - Getting assessments for standard
21-Oct-24 17:13:05 - Getting assessments for standard
21-Oct-24 17:13:06 - Getting assessments for standard
21-Oct-24 17:13:06 - Getting assessments for standard
21-Oct-24 17:13:07 - Getting assessments for standard
21-Oct-24 17:13:07 - Getting assessments for standard
21-Oct-24 17:13:08 - Getting assessments for standard
21-Oct-24 17:13:08 - Getting assessments for standard
21-Oct-24 17:13:09 - Getting assessments for standard
21-Oct-24 17:13:09 - Getting assessments for standard
21-Oct-24 17:13:10 - Getting assessments for standard
21-Oct-24 17:13:10 - Getting assessments for standard
21-Oct-24 17:13:11 - Getting assessments for standard
21-Oct-24 17:13:11 - Getting assessments for standard
21-Oct-24 17:13:12 - Getting assessments for standard
21-Oct-24 17:13:12 - Getting assessments for standard
21-Oct-24 17:13:13 - Getting assessments for standard
21-Oct-24 17:13:13 - Getting assessments for standard
21-Oct-24 17:13:14 - Getting assessments for standard
21-Oct-24 17:13:14 - Getting assessments for standard
21-Oct-24 17:13:15 - Getting assessments for standard
21-Oct-24 17:13:15 - Getting assessments for standard
21-Oct-24 17:13:16 - Getting assessments for standard
21-Oct-24 17:13:16 - Getting assessments for standard
21-Oct-24 17:13:17 - Getting assessments for standard
21-Oct-24 17:13:17 - Getting assessments for standard
21-Oct-24 17:13:18 - Getting assessments for standard
21-Oct-24 17:13:18 - Getting assessments for standard
21-Oct-24 17:13:19 - Getting assessments for standard
21-Oct-24 17:13:19 - Getting assessments for standard
21-Oct-24 17:13:20 - Getting assessments for standard
21-Oct-24 17:13:20 - Getting assessments for standard
21-Oct-24 17:13:21 - Getting assessments for standard
21-Oct-24 17:13:21 - Getting assessments for standard
21-Oct-24 17:13:22 - Getting assessments for standard
21-Oct-24 17:13:22 - Getting assessments for standard
21-Oct-24 17:13:23 - Getting assessments for standard
21-Oct-24 17:13:23 - Getting assessments for standard
21-Oct-24 17:13:24 - Getting assessments for standard
21-Oct-24 17:13:24 - Getting assessments for standard
21-Oct-24 17:13:25 - Getting assessments for standard
21-Oct-24 17:13:25 - Getting assessments for standard
21-Oct-24 17:13:26 - Getting assessments for standard
21-Oct-24 17:13:26 - Getting assessments for standard
21-Oct-24 17:13:27 - Getting assessments for standard
21-Oct-24 17:13:27 - Getting assessments for standard
21-Oct-24 17:13:28 - Getting assessments for standard
21-Oct-24 17:13:28 - Getting assessments for standard
21-Oct-24 17:13:29 - Getting assessments for standard
21-Oct-24 17:13:29 - Getting assessments for standard
21-Oct-24 17:13:30 - Getting assessments for standard
21-Oct-24 17:13:30 - Getting assessments for standard
21-Oct-24 17:13:31 - Getting assessments for standard
21-Oct-24 17:13:31 - Getting assessments for standard
21-Oct-24 17:13:32 - Getting assessments for standard
21-Oct-24 17:13:32 - Getting assessments for standard
21-Oct-24 17:13:32 - Getting assessments for standard
21-Oct-24 17:13:33 - Getting assessments for standard
21-Oct-24 17:13:34 - Getting assessments for standard
21-Oct-24 17:13:34 - Getting assessments for standard
21-Oct-24 17:13:35 - Getting assessments for standard
21-Oct-24 17:13:36 - Getting assessments for standard
21-Oct-24 17:13:36 - Getting assessments for standard
21-Oct-24 17:13:37 - Getting assessments for standard
21-Oct-24 17:13:37 - Getting assessments for standard
21-Oct-24 17:13:37 - Getting assessments for standard
21-Oct-24 17:13:38 - Getting assessments for standard
21-Oct-24 17:13:38 - Getting assessments for standard
21-Oct-24 17:13:39 - Getting assessments for standard
21-Oct-24 17:13:39 - Getting assessments for standard
21-Oct-24 17:13:40 - Getting assessments for standard
21-Oct-24 17:13:40 - Getting assessments for standard
21-Oct-24 17:13:41 - Getting assessments for standard
21-Oct-24 17:13:41 - Getting assessments for standard
21-Oct-24 17:13:42 - Getting assessments for standard
21-Oct-24 17:13:42 - Getting assessments for standard
21-Oct-24 17:13:43 - Getting assessments for standard
21-Oct-24 17:13:43 - Getting assessments for standard
21-Oct-24 17:13:44 - Getting assessments for standard
21-Oct-24 17:13:44 - Getting assessments for standard
21-Oct-24 17:13:45 - Getting assessments for standard
21-Oct-24 17:13:45 - Getting assessments for standard
21-Oct-24 17:13:46 - Getting assessments for standard
21-Oct-24 17:13:46 - Getting assessments for standard
21-Oct-24 17:13:47 - Getting assessments for standard
21-Oct-24 17:13:47 - Getting assessments for standard
21-Oct-24 17:13:48 - Getting assessments for standard
21-Oct-24 17:13:48 - Getting assessments for standard
21-Oct-24 17:13:49 - Getting assessments for standard
21-Oct-24 17:13:49 - Getting assessments for standard
21-Oct-24 17:13:50 - Getting assessments for standard
21-Oct-24 17:13:50 - Getting assessments for standard
21-Oct-24 17:13:51 - Getting assessments for standard
21-Oct-24 17:13:51 - Getting assessments for standard
21-Oct-24 17:13:52 - Getting assessments for standard
21-Oct-24 17:13:52 - Getting assessments for standard
21-Oct-24 17:13:52 - Getting assessments for standard
21-Oct-24 17:13:53 - Getting assessments for standard
21-Oct-24 17:13:54 - Getting assessments for standard
21-Oct-24 17:13:54 - Getting assessments for standard
21-Oct-24 17:13:55 - Getting assessments for standard
21-Oct-24 17:13:55 - Getting assessments for standard
21-Oct-24 17:13:55 - Getting assessments for standard
21-Oct-24 17:13:56 - Getting assessments for standard
21-Oct-24 17:13:56 - Getting assessments for standard
21-Oct-24 17:13:57 - Getting assessments for standard
21-Oct-24 17:13:57 - Getting assessments for standard
21-Oct-24 17:13:58 - Getting assessments for standard
21-Oct-24 17:13:58 - Getting assessments for standard
21-Oct-24 17:13:59 - Getting assessments for standard
21-Oct-24 17:13:59 - Getting assessments for standard
21-Oct-24 17:14:00 - Getting assessments for standard
21-Oct-24 17:14:00 - Getting assessments for standard
21-Oct-24 17:14:01 - Getting assessments for standard
21-Oct-24 17:14:01 - Getting assessments for standard
21-Oct-24 17:14:01 - Getting assessments for standard
21-Oct-24 17:14:02 - Getting assessments for standard
21-Oct-24 17:14:02 - Getting assessments for standard
21-Oct-24 17:14:03 - Getting assessments for standard
21-Oct-24 17:14:03 - Getting assessments for standard
21-Oct-24 17:14:04 - Getting assessments for standard
21-Oct-24 17:14:04 - Getting assessments for standard
21-Oct-24 17:14:05 - Getting assessments for standard
21-Oct-24 17:14:05 - Getting assessments for standard
21-Oct-24 17:14:05 - Getting assessments for standard
21-Oct-24 17:14:06 - Getting assessments for standard
21-Oct-24 17:14:06 - Getting assessments for standard
21-Oct-24 17:14:07 - Getting assessments for standard
21-Oct-24 17:14:07 - Getting assessments for standard
21-Oct-24 17:14:08 - Getting assessments for standard
21-Oct-24 17:14:08 - Getting assessments for standard
21-Oct-24 17:14:09 - Getting assessments for standard
21-Oct-24 17:14:09 - Getting assessments for standard
21-Oct-24 17:14:10 - Getting assessments for standard
21-Oct-24 17:14:10 - Getting assessments for standard
21-Oct-24 17:14:11 - Getting assessments for standard
21-Oct-24 17:14:11 - Getting assessments for standard
21-Oct-24 17:14:12 - Getting assessments for standard
21-Oct-24 17:14:12 - Getting assessments for standard
21-Oct-24 17:14:13 - Getting assessments for standard
21-Oct-24 17:14:13 - Getting assessments for standard
21-Oct-24 17:14:14 - Getting assessments for standard
21-Oct-24 17:14:14 - Getting assessments for standard
21-Oct-24 17:14:15 - Getting assessments for standard
21-Oct-24 17:14:15 - Getting assessments for standard
21-Oct-24 17:14:15 - Getting assessments for standard
21-Oct-24 17:14:16 - Getting assessments for standard
21-Oct-24 17:14:16 - Getting assessments for standard
21-Oct-24 17:14:17 - Getting assessments for standard
21-Oct-24 17:14:17 - Getting assessments for standard
21-Oct-24 17:14:18 - Getting assessments for standard
21-Oct-24 17:14:18 - Getting assessments for standard
21-Oct-24 17:14:18 - Getting assessments for standard
21-Oct-24 17:14:19 - Getting assessments for standard
21-Oct-24 17:14:19 - Getting assessments for standard
21-Oct-24 17:14:20 - Getting assessments for standard
